company_name,websiteAdversus,https://adversus.io
Shine (formerly Ageras),https://shine.co
BLAST,https://blastpremier.com
Bonzer,https://bonzer.io
Capdesk from Carta,https://capdesk.com
Crispa,https://crispa.ai
Donkey Republic,https://donkey.bike
Efektive,https://efektive.dk
GAMUCATEX,https://cloudflare.com/privacypolicy
Influencer Marketing Hub,https://influencermarketinghub.com
Pleo Technologies,https://pleo.io
Singa,https://singa.com
Too Good To Go,https://toogoodtogo.com
Veo Technologies,https://veo.co
VhAT,https://vhat.io
Anemo Robotics,https://anemorobotics.com
Atobi,https://atobi.io
Brand by Hand ApS,https://brandbyhand.dk
BrightAnalytics,https://brightanalytics.eu
Doublepoint,https://doublepoint.com
Dripdrop,https://dripdrop.io
Embankment,https://embankment.com
Exam.net,https://exam.net
FlavorScale,https://flavorscale.dk
Folke Furniture,https://folkefurniture.com
Graduateland - a part of JobTeaser,https://graduateland.com
LifeBonder,https://lifebonder.com
Spacemaker AI,https://spacemaker.ai
Voi Technology,https://voi.com
Barma,https://barma.io
Cernel,https://cernel.ai
Glint Solar,https://glintsolar.ai
Go Autonomous,https://goautonomous.io
Karma,https://karma.life
Strise,https://strise.ai
RevaGroup.io,https://revagroup.io
Silo AI,https://silo.ai
Superside,https://superside.com
swapped.com,https://swapped.com
Synthesia,https://synthesia.io
The Org,https://theorg.com
Tiimo | AI Planning & Productivity,https://tiimoapp.com
Yaay,https://yaaytravel.com
Flowering.dk,https://flowering.dk
Understory,https://understory.io
Humly,https://humly.io
Oda,https://careers.oda.com
Lenus,https://lenus.io
MeetingPackage,https://meetingpackage.com
Monta,https://monta.com
Movesta,https://movesta.se
Peltarion,https://peltarion.com
ProfitMetrics.io,https://profitmetrics.io
Sheer,https://sheer.dk
Tise,https://tise.com
True Followrs,https://truefollowrs.com
Formalize,https://formalize.com/en
Brella,https://brella.io
eloomi,https://eloomi.com
Loofers ApS,https://loofers.dk
Nume,https://nume.ai
Plant Jammer,https://plantjammer.com
Rebl Eats,https://rebleats.com
Sinful,https://sinful.com
VISOID,https://visoid.com
Wolt (FI),https://wolt.com
Confect.io,https://confect.io
COODY,https://coody.io
Corpay One,https://corpayone.dk
Gigle,https://gigle.shop
Hubert.ai,https://hubert.ai
Inex One,https://inex.one
ISSUU,https://issuu.com
Kive,https://kive.ai
Neurons,https://neuronsinc.com
Selma Finance,https://selma.com
Superb,https://superbexperience.com
Supermetrics,https://supermetrics.com
Wallhack,https://wallhack.com
Yazen,https://yazen.com/se/hem
AYA-S,https://aya-s.co
Draivi,https://draivi.com
kapa.ai,https://kapa.ai
Minna Technologies,https://minnatechnologies.com
Pandektes,https://pandektes.com
Peech,https://peech.dk
Podimo,https://podimo.com
reMarkable,https://careers.remarkable.com
Sagitta Family Office,https://sagitta-investments.com
Levitate,https://letslevitate.com
Tendium,https://tendium.ai
Wonderful,https://wonderful.ai
Albacross,https://albacross.com
Attensi,https://attensi.com
byFounders VC,https://byfounders.vc
Contractbook by Scrive,https://contractbook.com
Dreamdata,https://dreamdata.io
FoodOp,https://foodop.io
metastream™,https://metastream.live
